Time	Roll
0:01:52.277	-7.395
0:01:52.311	-5.6025
0:01:52.311	-8.295
0:01:52.340	-5.0025
0:01:52.340	-6
0:01:52.369	-1.3575
0:01:52.369	-2.61
0:01:52.402	2.2125
0:01:52.402	-1.4775
0:01:52.429	0.3525
0:01:52.443	1.4475
0:01:52.458	0.495
0:01:52.472	1.7775
0:01:52.487	0.7875
0:01:52.515	1.92
0:01:52.544	1.74
0:01:52.573	2.8125
0:01:52.573	2.2725
0:01:52.603	4.515
0:01:52.603	3.6375
0:01:52.631	5.985
0:01:52.658	6.3975
0:01:52.671	7.515
0:01:52.714	9.12
0:01:52.728	10.44
0:01:52.785	14.55
0:01:52.813	15.7275
0:01:52.841	19.3875
0:01:52.841	17.4225
0:01:52.885	22.68
0:01:52.899	25.08
0:01:52.943	14.4525
0:01:52.972	16.7775
0:01:53.003	17.04
0:01:53.003	16.89
0:01:53.031	16.8225
0:01:53.031	16.155
0:01:53.099	10.185
0:01:53.128	9.15
0:01:53.157	8.2125
0:01:53.157	5.97
0:01:53.187	3.585
0:01:53.187	2.9475
0:01:53.200	3.525
0:01:53.215	3
0:01:53.230	3.09
0:01:53.247	2.9775
0:01:53.262	3.4575
0:01:53.292	5.4
0:01:53.322	9.015
0:01:53.350	11.3625
0:01:53.365	14.5875
0:01:53.398	19.8525
0:01:53.398	17.16
0:01:53.430	22.215
0:01:53.459	26.04
0:01:53.545	17.8575
0:01:53.615	11.4975
0:01:53.629	10.5
0:01:53.658	8.6775
0:01:53.672	6.7275
0:01:53.702	3.825
0:01:53.716	0.75
0:01:53.731	-2.0325
0:01:53.758	-4.4325
0:01:53.788	-5.9325
0:01:53.788	-6.93
0:01:53.816	-7.425
0:01:53.829	-8.1225
0:01:53.857	-9.2925
0:01:53.887	-11.2575
0:01:53.887	-13.2
0:01:53.918	-15.705
0:01:53.918	-17.955
0:01:53.972	-17.25
0:01:53.972	-19.26
0:01:53.986	-15.315
0:01:54.001	-16.9275
0:01:54.030	-13.65
0:01:54.045	-12.81
0:01:54.075	-16.4175
0:01:54.105	-14.685
0:01:54.105	-16.2825
0:01:54.135	-14.865
0:01:54.149	-10.71
0:01:54.165	-9.4575
0:01:54.179	-8.9175
0:01:54.207	-11.685
0:01:54.237	-2.5425
0:01:54.268	-0.5625
0:01:54.268	-0.8925
0:01:54.298	-1.665
0:01:54.298	-5.91
0:01:54.313	-0.675
0:01:54.331	-0.3
0:01:54.331	-1.755
0:01:54.360	-2.5875
0:01:54.388	-2.8425
0:01:54.388	-2.9475
0:01:54.404	-4.11
0:01:54.418	-3.705
0:01:54.449	-2.55
0:01:54.449	-3
0:01:54.493	2.94
0:01:54.493	2.8275
0:01:54.522	1.0275
0:01:54.522	0.9525
0:01:54.553	5.1075
0:01:54.553	3.2025
0:01:54.568	6.15
0:01:54.597	8.13
0:01:54.597	5.5875
0:01:54.597	5.4975
0:01:54.629	9.1725
0:01:54.658	15.21
0:01:54.688	17.0325
0:01:54.761	20.985
0:01:54.776	21.42
0:01:54.851	22.8825
0:01:54.880	19.26
0:01:54.911	15.4425
0:01:54.911	12.645
0:01:54.911	12.06
0:01:54.939	12.7425
0:01:54.969	11.9625
0:01:54.999	12.405
0:01:54.999	11.6025
0:01:55.014	9.78
0:01:55.045	11.52
0:01:55.045	9.1125
0:01:55.045	8.8425
0:01:55.073	9.8625
0:01:55.073	7.635
0:01:55.089	6.87
0:01:55.120	5.1225
0:01:55.120	3.6975
0:01:55.152	5.055
0:01:55.152	3.0075
0:01:55.182	3.0975
0:01:55.197	0.5025
0:01:55.197	-0.975
0:01:55.227	-0.8625
0:01:55.272	0.5325
0:01:55.301	1.215
0:01:55.301	1.1625
0:01:55.330	0.66
0:01:55.361	1.695
0:01:55.361	1.155
0:01:55.390	2.0175
0:01:55.405	2.115
0:01:55.435	1.44
0:01:55.465	0.7575
